Localidades,Temp_anual,Range_altitude,Prec_anual,sazonalidade,Latitude,Longitude,Riqueza
AEP,20.625,390,1394,88.56409453,19.867333,43.358868,24
AGA,22.59166667,102,1225,54.4364334,19.932778,40.458487,41
APJ,17.24166667,480,1359,66.98989864,23.241343,46.958496,30
BFF,22.8375,130,1305,80.46239733,20.637222,48.751667,16
CRS,21.31666667,1350,1958,45.52961589,25.498611,48.841389,31
EEB,16.76666667,210,2315,40.30820269,23.650046,45.956657,64
EEC,20.275,182,1296,61.8690877,22.402089,49.69718,24
EEJ,20.4375,800,2045,44.28981073,24.516667,47.266667,25
EGH,22.64166667,700,1560,55.51461046,22.580415,43.034191,39
FAC,22.4,65,1200,70.6553736,21.404722,49.500278,20
FBV,22.55416667,88,1194,72.38654975,20.921111,49.926111,24
FCB,22.44166667,96,1340,80.81953302,20.885,48.540556,13
FEN,20.22916667,215,1306,74.39306426,22.407386,47.528145,20
FMG,16.7375,240,1769,52.98824548,23.726418,46.96822,25
FSF,23.0375,73,1181,72.33449133,20.473611,50.293333,24
GSJ,23.16666667,95,1281,81.56695363,20.543611,49.246389,20
ICE,23.79166667,117,1266,81.82910545,20.333333,49.183333,25
IFP,22.5375,110,1220,73.09476914,20.742778,49.929167,24
MFC,21.42916667,100,1318,77.70322785,21.620556,48.537222,21
NHS,22.13333333,90,1236,71.72170486,21.520833,49.294722,18
NIT,22.525,70,1173,74.74604796,21.066667,49.533333,26
PBV,23.18333333,92,1217,81.84918609,20.321111,49.504722,20
PCB,21.44583333,187,1586,51.58942257,24.112032,47.627637,64
PEE,22.11666667,101,1278,77.02184567,21.22,48.917778,22
PEI,20.40416667,785,1628,49.54434976,24.174455,47.952547,25
PEJ,18.35416667,283,1747,49.75492031,23.976049,47.376814,45
PES,18.57916667,980,1948,53.87132149,23.536402,45.306103,39
PET,18.0125,375,1389,44.14912754,24.375,48.566667,55
PFT,22.62083333,84,1185,71.48864393,21.001389,49.973889,20
PMD,22.06666667,200,1188,44.69418107,22.540286,52.311203,28
PMG,20.7125,192,1496,39.31200514,23.453002,51.239091,23
PNC,20.2375,1213,1369,87.84980726,20.097013,43.404376,37
PRD,23.60416667,230,1144,82.23320498,19.586712,42.538958,36
PSB,22.025,155,1354,45.53204772,20.981004,56.71567,36
RDB,21.67916667,180,1242,50.37565292,20.276751,40.501875,49
RRP,21.71666667,700,1463,57.01696913,22.990106,44.089469,41
SAA,22.6125,100,1190,70.2466909,20.926111,50.348611,15
SFS,22.65833333,99,1250,69.40526991,20.183333,50.883333,19
SJB,19.98333333,870,1512,73.67402107,22.619021,44.653431,32
SJP,15.94583333,370,1602,30.44135641,25.683333,49.05,34
SMV,20.89166667,921,1277,67.22585137,21.483333,41.866667,19
TSJ,23.01666667,80,1200,74.70548234,20.003611,50.433889,21
TSS,22.22916667,102,1289,78.73779528,21.402222,48.687222,9
VFP,23.01666667,105,1207,72.58029893,20.514444,50.086667,21
