;Fauvette_orphee;Fauvette_des_jardins;Fauvette_a_tete_noire;Fauvette_babillarde;Fauvette_grisette;Fauvette_pitchou;Fauvette_passerinette;Fauvette_melanocephale;Hibou_petit_duc;Chouette_de_Tengmalm;Chouette_cheveche;Chouette_chevechette;Chouette_hulotte;Chouette_effraie;Bruant_fou;Bruant_ortolan;Bruant_zizi;Bruant_jaune;Bruant_proyer
S01;0;2;2;1;1;0;0;0;0;2;0;1;2;0;2;0;0;2;0
S02;0;2;2;1;1;0;0;0;0;2;1;1;2;1;2;0;1;2;0
S03;0;2;2;2;1;0;0;0;0;2;1;1;3;1;2;0;1;2;0
S04;0;3;2;1;0;0;0;0;0;1;1;1;2;1;1;0;1;2;1
S05;0;3;2;1;2;0;0;0;0;1;1;1;2;1;1;1;1;2;1
S06;0;2;2;1;0;0;0;0;0;1;1;0;2;1;1;0;1;2;0
S07;0;2;3;1;1;0;0;0;0;2;2;1;3;2;1;1;1;2;1
S08;0;2;2;1;2;0;0;0;0;1;1;0;2;1;1;0;1;2;0
S09;0;3;2;2;1;0;0;0;1;2;1;0;2;1;2;2;1;2;0
S10;1;3;2;3;1;0;0;0;1;2;1;1;2;1;3;2;1;3;1
S11;0;3;2;2;1;0;0;0;0;1;0;0;1;0;1;1;1;3;0
S12;1;2;2;2;2;0;0;0;1;2;1;1;3;2;2;1;1;3;0
S13;0;2;2;1;1;0;0;0;0;0;1;0;2;1;1;2;1;3;1
S14;1;3;3;2;1;0;0;0;1;1;1;1;2;1;2;1;1;1;0
S15;1;2;2;1;2;0;0;0;1;1;0;1;1;1;3;2;2;3;1
S16;2;2;3;1;3;1;3;0;3;1;2;0;3;2;2;3;3;1;2
S17;1;3;2;0;1;0;0;0;1;1;1;0;3;1;2;2;1;3;1
S18;0;2;1;2;2;0;0;0;0;1;1;0;3;0;3;3;2;3;1
S19;0;3;2;2;2;0;0;0;0;2;2;0;3;1;3;3;2;3;1
S20;1;3;3;2;2;0;0;0;1;2;1;1;3;1;3;3;2;3;1
S21;0;2;2;2;2;0;0;0;0;2;1;1;2;0;2;2;1;2;0
S22;2;2;3;0;3;2;3;2;3;0;2;0;3;2;2;3;3;1;2
S23;1;3;3;1;3;0;2;0;2;1;2;0;3;2;3;3;2;1;3
