sp;trend;redlist;regio;biog;activ;diet;winter;color;breed;body;wing;period
sp1;increasing;nonthreat;1;medit;nocturnal;generalist;imago_larvae;black;autumn;5;brachy;summer_autumn
sp2;increasing;nonthreat;4;nort_centr;nocturnal;generalist;imago_larvae;black;autumn;5;brachy;late_spring
sp3;stable;threat;2;nort_centr;nocturnal;generalist;imago_larvae;metallic;spring;5;brachy;early_spring
sp4;decreasing;threat;2;medit;diur_noctur;collemb;imago_larvae;metallic;autumn;3;macropt;early_spring
sp5;increasing;nonthreat;1;medit;nocturnal;collemb;imago_larvae;metallic;autumn;2;macropt;early_spring
sp6;stable;nonthreat;1;medit;nocturnal;generalist;imago_larvae;black;autumn;4;macropt;early_spring
sp7;increasing;nonthreat;1;wides;nocturnal;generalist;imago_larvae;black;autumn;4;macropt;early_spring
sp8;stable;nonthreat;4;wides;diurnal;collemb;imago;metallic;summer;1;dimorphic;early_spring
sp9;increasing;nonthreat;3;wides;diurnal;collemb;imago_larvae;metallic;summer;1;dimorphic;late_spring
sp10;stable;nonthreat;2;medit;diurnal;collemb;imago_larvae;metallic;summer;1;dimorphic;late_spring
sp11;stable;nonthreat;2;wides;diur_noctur;generalist;imago_larvae;black;spring;2;dimorphic;early_spring
sp12;stable;nonthreat;3;wides;diurnal;generalist;imago;black;spring;1;dimorphic;early_spring
sp13;stable;nonthreat;1;wides;nocturnal;collemb;imago_larvae;black;autumn;1;dimorphic;summer_autumn
sp14;stable;threat;4;nort_centr;diurnal;generalist;imago;black;spring;1;macropt;late_spring
sp15;stable;nonthreat;4;nort_centr;diurnal;generalist;imago;metallic;summer;4;macropt;late_spring
sp16;decreasing;threat;4;medit;diurnal;generalist;imago;metallic;spring;5;macropt;early_spring
sp17;increasing;nonthreat;1;medit;nocturnal;phytop;imago_larvae;black;autumn;5;brachy;summer_autumn
sp18;increasing;nonthreat;3;nort_centr;nocturnal;generalist;imago_larvae;black;summer;1;dimorphic;late_spring
sp19;decreasing;threat;4;wides;nocturnal;phytop;imago_larvae;black;autumn;2;dimorphic;late_spring
sp20;stable;threat;2;medit;nocturnal;generalist;imago_larvae;black;spring;2;brachy;late_spring
sp21;decreasing;threat;4;wides;nocturnal;generalist;imago_larvae;black;autumn;2;dimorphic;summer_autumn
sp22;stable;nonthreat;4;wides;nocturnal;generalist;imago_larvae;black;autumn;2;dimorphic;summer_autumn
sp23;decreasing;threat;4;nort_centr;nocturnal;generalist;imago_larvae;black;autumn;3;dimorphic;summer_autumn
sp24;stable;nonthreat;3;wides;nocturnal;generalist;imago_larvae;black;autumn;4;dimorphic;summer_autumn
sp25;increasing;nonthreat;4;nort_centr;diurnal;phytop;imago_larvae;metallic;spring;2;macropt;early_spring
sp26;increasing;nonthreat;4;nort_centr;diurnal;phytop;imago;metallic;summer;2;macropt;early_spring
sp27;stable;nonthreat;3;wides;diur_noctur;phytop;imago;black;spring;4;macropt;early_spring
sp28;stable;nonthreat;1;wides;nocturnal;phytop;imago_larvae;black;summer;5;macropt;summer_autumn
sp29;increasing;nonthreat;2;wides;nocturnal;phytop;imago_larvae;metallic;spring;4;macropt;late_spring
sp30;stable;threat;3;wides;diur_noctur;phytop;imago_larvae;black;summer;4;macropt;early_spring
sp31;stable;nonthreat;4;nort_centr;diurnal;phytop;imago_larvae;black;summer;3;macropt;late_spring
sp32;decreasing;threat;4;wides;diurnal;phytop;imago;black;summer;3;macropt;late_spring
sp33;stable;nonthreat;3;wides;diurnal;phytop;imago;black;summer;3;macropt;late_spring
sp34;increasing;threat;3;wides;diur_noctur;generalist;imago_larvae;black;spring;2;macropt;early_spring
sp35;stable;nonthreat;3;wides;diurnal;generalist;imago;black;spring;1;dimorphic;early_spring
sp36;stable;nonthreat;3;medit;diur_noctur;generalist;imago;metallic;autumn;2;macropt;summer_autumn
