"","Grazing","Aridity","Exclosure","Bare.ground.2009","Altitude"
"1","Grazed",5.003,0,77.6,928
"2","Grazed",5.003,0,84.9,976
"3","Grazed",5.109,0,85.7,936
"4","Grazed",5.109,0,59.2,937
"5","Grazed",5.003,0,85,937
"6","Grazed",2.625,0,78.8,1628
"7","Grazed",2.625,0,75.2,1599
"8","Grazed",2.985,0,73.7,1611
"9","Grazed",2.625,0,71.8,1598
"10","Grazed",2.985,0,72.5,1593
"11","Grazed",5.109,0,81.5,917
"12","Grazed",5.109,0,81.3,929
"13","Grazed",5.109,0,75.2,941
"14","Grazed",5.109,0,84.9,945
"15","Grazed",5.109,0,92.1,927
"17","Grazed",4.254,0,75.3,1286
"18","Grazed",4.088,0,76.7,1314
"19","Grazed",4.425,0,62.8,1302
"20","Grazed",4.425,0,74.8,1302
"21","Grazed",4.536,0,82.6,978
"22","Grazed",4.533,0,90.1,919
"23","Grazed",4.533,0,85.7,921
"24","Grazed",4.397,0,90.3,911
"25","Grazed",3.903,0,84.4,938
"26","Ungrazed",5.003,13,75.7,950
"27","Ungrazed",5.003,13,75.3,946
"28","Ungrazed",5.003,13,75.3,947
"29","Ungrazed",5.003,13,59.8,955
"31","Ungrazed",2.625,5,76.5,1628
"32","Ungrazed",2.625,5,43.5,1617
"33","Ungrazed",2.625,5,57,1611
"34","Ungrazed",2.625,5,68.5,1611
"41","Ungrazed",4.965,50,84.8,1050
"42","Ungrazed",4.965,50,45.8,1048
"43","Ungrazed",4.965,50,68.3,1063
"44","Ungrazed",4.965,50,83.9,1064
"45","Ungrazed",4.965,50,74,1068
"46","Ungrazed",4.254,1,70,1291
"47","Ungrazed",4.254,1,65.5,1297
"48","Ungrazed",4.254,1,55.5,1293
"49","Ungrazed",4.254,1,60.3,1302
"50","Ungrazed",4.425,1,52.3,1302
"51","Ungrazed",4.536,11,52.5,988
"53","Ungrazed",3.906,11,80.5,1034
"54","Ungrazed",3.906,11,79.3,1034
"55","Ungrazed",3.906,11,59.3,1034
