;Sp10;Sp11;Sp2;Sp3;Sp4;Sp6;Sp7;Sp8;Sp1;Sp9;Sp5
DN1;1;8;1;1;6;8;4;0;0;0;0
DN2;0;0;0;0;1;1;4;2;0;0;0
DN3;1;0;0;0;0;0;0;0;0;0;0
DN4;0;0;2;2;1;0;0;0;6;0;0
DN5;0;0;3;0;1;0;4;1;0;0;0
FIG1;0;0;1;0;0;0;1;0;0;0;0
FIG2;0;0;1;0;0;1;4;0;0;0;0
FIG3;0;3;3;0;0;1;3;0;0;0;0
FIG4;0;0;0;11;0;0;1;3;0;1;0
FIG5;0;0;0;4;0;0;0;1;0;0;0
FIG7;0;3;4;0;0;0;1;2;4;0;0
FIG9;0;0;0;0;0;0;0;6;0;0;0
PJ1;0;0;1;0;1;0;0;0;0;0;0
PJ2;0;0;2;0;0;0;0;0;0;0;0
PJ3;0;0;3;0;0;0;0;0;0;0;0
PJ4;0;0;0;4;0;0;0;2;0;0;0
PJ5;0;0;0;0;0;0;0;0;7;0;0
PJ6;2;0;0;0;5;0;0;1;2;0;0
TL1;0;1;4;3;1;0;4;4;0;2;0
TL2;0;1;1;2;0;1;1;4;0;1;0
TL4;0;2;3;0;0;0;0;0;0;0;0
TL5;0;0;0;0;0;0;0;0;0;2;0
TL6;0;0;0;0;3;0;0;0;0;0;0
TL7;0;0;0;0;0;0;0;1;0;0;0
TL8;0;0;0;0;0;1;4;0;0;0;1
TL9;0;0;1;0;3;5;1;0;0;1;1
