,Coleta Campo,Colecoes Cientificas
Ameiva_ameiva,1,0
Amphisbaena_mertensii,1,0
Apostolepis_dimidiata,0,1
Bothrops__itapetiningae,0,2
Bothrops__pauloensis,0,1
Bothrops_alternatus,0,1
Bothrops_jararaca,3,8
Crotalus_durissus_terrificus_,0,4
Dipsas_bucephala,0,5
Epicrates_crassus,0,1
Erythrolamprus_aesculapii_,0,3
Erythrolamprus_almadensis,0,1
Erythrolamprus_poecilogyrus,1,5
Erythrolamprus_reginae,1,7
Helicops_gomesi,0,6
Helicops_modestus,0,2
Imantodes_cenchoa,0,1
Lygophis_lineatus,0,1
Lygophis_meridionalis,0,1
Notomabuya_frenata_,18,0
Mastigodryas_bifossatus,0,1
Micrurus_lemniscatus,0,9
Oxyrhopus_guibei,1,4
Rachidelus_brazili,0,1
Sibynomorphus_mikanii,0,2
Simophis_rhinostoma,0,4
Spilotes_pullatus_,0,2
Thamnodynastes_pallidus,0,1
Thamnodynastes_strigatus,0,1
Salvator_merianae,22,0
Xenodon_merremi,0,1
Xenodon_nattereri,0,1
